Order ID,Customer ID,SalesPerson,Order Date,Ship Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container
710,C729,Bob,1/1/2018,1/5/2018,Low,SKU356,42,3.58,0.01,5.47,Regular Air,Small Box
710,C729,Bob,1/1/2018,1/3/2018,Low,SKU117,11,41.32,0.09,8.66,Regular Air,Medium Box
710,C729,Bob,1/1/2018,1/5/2018,Low,SKU1123,29,145.45,0.02,17.85,Delivery Truck,Jumbo Drum
59174,C260,John,1/1/2018,1/3/2018,Medium,SKU1134,6,204.1,0.09,13.99,Express Air,Medium Box
39841,C084,John,1/1/2018,1/3/2018,Medium,SKU627,43,6.68,0.01,6.92,Regular Air,Small Box
48480,C692,John,1/2/2018,1/5/2018,Critical,SKU949,32,370.98,0.1,99,Delivery Truck,Jumbo Drum
54145,C398,John,1/2/2018,1/2/2018,Low,SKU152,34,2.08,0.1,5.33,Regular Air,Small Box
25860,C258,Bob,1/2/2018,1/4/2018,Low,SKU471,9,83.98,0.05,5.01,Express Air,Small Box
25860,C258,John,1/2/2018,1/11/2018,Low,SKU1218,23,65.99,0.07,19.99,Regular Air,Small Box
38215,C227,Richard,1/2/2018,1/3/2018,Critical,SKU1138,42,20.99,0.07,4.81,Regular Air,Medium Box
38215,C227,Bob,1/2/2018,1/4/2018,Critical,SKU572,38,104.85,0.09,19.99,Express Air,Small Box
57606,C199,John,1/3/2018,1/4/2018,Not Specified,SKU1011,37,8.46,0.08,3.62,Regular Air,Small Pack
20449,C580,John,1/3/2018,1/4/2018,Medium,SKU372,19,67.28,0.1,19.99,Regular Air,Small Box
8998,C465,Bob,1/3/2018,1/7/2018,Low,SKU285,37,50.98,0.07,13.66,Regular Air,Small Box
8998,C465,John,1/3/2018,1/5/2018,Low,SKU1064,12,22.24,0.01,1.99,Regular Air,Small Pack
8998,C465,Bob,1/3/2018,1/8/2018,Low,SKU917,13,13.43,0.04,5.5,Regular Air,Small Box
29058,C782,Bob,1/3/2018,1/5/2018,High,SKU710,43,6.48,0.02,6.35,Regular Air,Small Box
29058,C782,Bob,1/3/2018,1/4/2018,High,SKU816,23,5.84,0.06,1,Regular Air,Wrap Bag
29058,C782,Richard,1/3/2018,1/3/2018,High,SKU886,41,24.98,0.04,8.79,Regular Air,Small Box
29058,C782,John,1/3/2018,1/5/2018,High,SKU022,33,880.98,0.07,44.55,Delivery Truck,Jumbo Box
46050,C412,Bob,1/4/2018,1/7/2018,High,SKU313,3,289.53,0.02,19.99,Regular Air,Small Box
46050,C412,Richard,1/4/2018,1/5/2018,High,SKU1077,5,449.99,0.02,24.49,Regular Air,Large Box
46050,C412,Richard,1/4/2018,1/7/2018,High,SKU920,48,95.43,0.03,19.99,Express Air,Small Box
56293,C535,Richard,1/5/2018,1/5/2018,Not Specified,SKU202,34,19.99,0.04,11.17,Regular Air,Large Box
56293,C535,Bob,1/5/2018,1/6/2018,Not Specified,SKU962,44,16.91,0.06,6.25,Regular Air,Small Box
5504,C043,Bob,1/5/2018,1/7/2018,High,SKU566,6,5.78,0.06,7.64,Express Air,Small Box
5504,C043,John,1/5/2018,1/7/2018,High,SKU1220,15,45.99,0.04,4.99,Regular Air,Small Box
14755,C716,Richard,1/5/2018,1/5/2018,High,SKU738,31,3.85,0.09,0.7,Regular Air,Wrap Bag
14755,C716,Richard,1/5/2018,1/7/2018,High,SKU1153,44,65.99,0.1,4.2,Express Air,Small Box
33218,C264,John,1/6/2018,1/8/2018,Not Specified,SKU428,25,4.57,0.07,5.42,Regular Air,Small Box
33218,C264,Bob,1/6/2018,1/7/2018,Not Specified,SKU098,29,16.16,0.04,7.74,Regular Air,Small Box
44133,C500,Richard,1/6/2018,1/7/2018,High,SKU185,35,5.28,0.06,3.96,Regular Air,Wrap Bag
47171,C674,Bob,1/7/2018,1/8/2018,Medium,SKU716,21,6.48,0.01,8.4,Regular Air,Small Box
47171,C674,Richard,1/7/2018,1/8/2018,Medium,SKU747,19,2.67,0.03,0.86,Regular Air,Wrap Bag
47171,C674,Richard,1/7/2018,1/7/2018,Medium,SKU240,32,217.85,0.05,29.1,Delivery Truck,Jumbo Box
5510,C223,John,1/7/2018,1/10/2018,Medium,SKU610,12,9.68,0.08,2.03,Regular Air,Wrap Bag
12708,C794,Bob,1/7/2018,1/12/2018,Low,SKU763,44,3.28,0,0.98,Express Air,Wrap Bag
48935,C375,Bob,1/7/2018,1/9/2018,Low,SKU525,21,4.91,0,0.5,Regular Air,Small Box
2244,C258,John,1/8/2018,1/10/2018,Critical,SKU375,19,3.8,0.01,1.49,Express Air,Small Box
13447,C585,Richard,1/8/2018,1/10/2018,High,SKU1138,24,20.99,0.01,4.81,Regular Air,Medium Box
58053,C728,Bob,1/8/2018,1/10/2018,Medium,SKU672,42,6.68,0.02,7.3,Regular Air,Small Box
37668,C786,Richard,1/8/2018,1/8/2018,Low,SKU1132,33,13.99,0.01,7.51,Regular Air,Medium Box
4611,C719,Richard,1/9/2018,1/9/2018,High,SKU1105,32,500.98,0.03,28.14,Delivery Truck,Jumbo Drum
32932,C420,John,1/9/2018,1/13/2018,Low,SKU1071,49,599.99,0.05,24.49,Regular Air,Large Box
8227,C154,Bob,1/10/2018,1/11/2018,Not Specified,SKU1018,32,4.77,0.05,2.39,Express Air,Small Pack
10247,C251,Richard,1/10/2018,1/11/2018,Medium,SKU669,21,4.98,0.06,5.49,Regular Air,Small Box
10247,C251,John,1/10/2018,1/12/2018,Medium,SKU1039,24,9.78,0.03,1.99,Regular Air,Small Pack
23782,C417,John,1/10/2018,1/10/2018,Low,SKU050,46,500.98,0.09,26,Delivery Truck,Jumbo Drum
