Order ID,Customer ID,SalesPerson,Order Date,Ship Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container
13729,C508,Bob,1/1/2017,1/3/2017,Not Specified,SKU947,9,95.99,0.08,35,Express Air,Large Box
28774,C372,John,1/1/2017,1/2/2017,High,SKU937,32,5.98,0.1,4.69,Regular Air,Small Box
9285,C212,Bob,1/2/2017,1/4/2017,Critical,SKU363,3,40.98,0.06,2.99,Regular Air,Small Box
37537,C015,Bob,1/2/2017,1/2/2017,Low,SKU052,4,291.73,0,48.8,Delivery Truck,Jumbo Drum
37537,C015,Bob,1/2/2017,1/4/2017,Low,SKU063,43,100.98,0.07,45,Delivery Truck,Jumbo Drum
37537,C015,Richard,1/2/2017,1/9/2017,Low,SKU902,32,155.06,0.05,7.07,Regular Air,Small Box
44069,C256,John,1/2/2017,1/4/2017,Critical,SKU557,16,9.11,0.09,2.15,Express Air,Wrap Bag
44069,C256,John,1/2/2017,1/2/2017,Critical,SKU603,43,15.04,0.08,1.97,Regular Air,Wrap Bag
30016,C089,John,1/3/2017,1/5/2017,Critical,SKU731,15,5.28,0.03,5.66,Regular Air,Small Box
30016,C089,John,1/3/2017,1/6/2017,Critical,SKU1244,8,110.99,0.01,2.5,Regular Air,Small Box
40354,C591,Richard,1/3/2017,1/4/2017,High,SKU352,29,5.58,0.03,2.99,Regular Air,Small Box
40354,C591,John,1/3/2017,1/4/2017,High,SKU235,4,212.6,0.09,52.2,Delivery Truck,Jumbo Box
9637,C036,John,1/3/2017,1/5/2017,Low,SKU989,12,43.22,0.08,16.71,Regular Air,Small Box
9637,C036,Bob,1/3/2017,1/10/2017,Low,SKU1128,49,574.74,0.05,24.49,Regular Air,Large Box
9637,C036,Richard,1/3/2017,1/7/2017,Low,SKU593,12,10.14,0.04,2.27,Regular Air,Wrap Bag
7909,C023,Richard,1/3/2017,1/4/2017,High,SKU766,29,4.26,0.03,1.2,Regular Air,Wrap Bag
9762,C453,Bob,1/3/2017,1/4/2017,High,SKU083,12,20.98,0.05,21.2,Regular Air,Medium Box
11972,C042,John,1/3/2017,1/5/2017,Not Specified,SKU1124,4,213.45,0,14.7,Delivery Truck,Jumbo Drum
8710,C735,Bob,1/4/2017,1/5/2017,Critical,SKU370,17,3.36,0.03,6.27,Regular Air,Small Box
8710,C735,John,1/4/2017,1/6/2017,Critical,SKU540,42,3.71,0.07,1.93,Express Air,Wrap Bag
49730,C206,Bob,1/4/2017,1/5/2017,High,SKU073,3,350.98,0.06,30,Delivery Truck,Jumbo Drum
52386,C731,Richard,1/5/2017,1/7/2017,High,SKU1092,6,120.97,0.08,26.3,Delivery Truck,Jumbo Drum
1028,C507,Richard,1/5/2017,1/6/2017,High,SKU1034,6,28.48,0.03,1.99,Regular Air,Small Pack
1028,C507,Bob,1/5/2017,1/7/2017,High,SKU1148,11,205.99,0.01,5.99,Regular Air,Small Box
32418,C495,Bob,1/5/2017,1/6/2017,Not Specified,SKU057,5,243.98,0.08,43.32,Delivery Truck,Jumbo Drum
28451,C602,John,1/5/2017,1/7/2017,Critical,SKU156,21,194.3,0.01,11.54,Regular Air,Large Box
28451,C602,John,1/5/2017,1/6/2017,Critical,SKU183,41,209.84,0.02,21.21,Regular Air,Large Box
28451,C602,John,1/5/2017,1/7/2017,Critical,SKU1123,33,145.45,0,17.85,Delivery Truck,Jumbo Drum
57253,C199,Richard,1/5/2017,1/6/2017,Critical,SKU065,43,1.81,0.08,0.75,Regular Air,Jumbo Drum
57253,C199,Richard,1/5/2017,1/7/2017,Critical,SKU054,29,20.98,0.06,53.03,Delivery Truck,Jumbo Drum
57253,C199,Richard,1/5/2017,1/5/2017,Critical,SKU202,48,279.48,0.07,35,Regular Air,Large Box
57253,C199,Richard,1/5/2017,1/6/2017,Critical,SKU251,49,4.91,0.08,5.68,Regular Air,Jumbo Box
57253,C199,Bob,1/5/2017,1/5/2017,Critical,SKU1143,25,125.99,0.04,5.26,Regular Air,Small Box
290,C241,John,1/5/2017,1/6/2017,Not Specified,SKU578,24,7.64,0.05,5.83,Regular Air,Wrap Bag
25601,C780,Richard,1/5/2017,1/6/2017,Medium,SKU937,43,5.98,0.09,4.69,Regular Air,Small Box
