Order ID,Customer ID,SalesPerson,Order Date,Ship Date,Days to Ship,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Sales Amount,Shipping Amount,Ship Mode,Product Container
29030,C660,Richard,1/1/2020,1/2/2020,1,Medium,SKU814,10,19.84,0.05,188.48,4.1,Regular Air,Wrap Bag
47591,C198,Bob,1/1/2020,1/2/2020,1,Critical,SKU957,27,10.48,0.1,254.66,6.91,Regular Air,Small Box
54214,C628,Bob,1/1/2020,1/4/2020,3,Medium,SKU1076,38,199.99,0.04,7295.64,24.49,Express Air,Large Box
10945,C623,Bob,1/2/2020,1/4/2020,2,Medium,SKU1158,14,95.99,0.04,1290.11,8.99,Regular Air,Small Box
50471,C219,Bob,1/2/2020,1/4/2020,2,Low,SKU059,25,226.67,0.02,5553.42,28.16,Delivery Truck,Jumbo Drum
16164,C278,John,1/2/2020,1/6/2020,4,Low,SKU1113,26,90.97,0.03,2294.26,14,Delivery Truck,Jumbo Drum
43494,C375,Bob,1/2/2020,1/3/2020,1,Medium,SKU1129,2,1938.02,0.09,3527.2,13.99,Regular Air,Medium Box
16164,C278,John,1/2/2020,1/11/2020,9,Low,SKU481,22,162.93,0.07,3333.55,19.99,Regular Air,Small Box
16164,C278,Bob,1/2/2020,1/9/2020,7,Low,SKU745,26,2.52,0.08,60.28,4.28,Regular Air,Wrap Bag
35811,C163,Bob,1/2/2020,1/3/2020,1,Critical,SKU482,49,15.57,0.1,686.64,1.39,Regular Air,Small Box
35811,C163,Bob,1/2/2020,1/4/2020,2,Critical,SKU781,6,1.76,0.1,9.5,0.7,Regular Air,Wrap Bag
7107,C715,Richard,1/3/2020,1/3/2020,0,Not Specified,SKU124,3,54.2,0.02,159.35,11.1,Regular Air,Medium Box
7107,C715,John,1/3/2020,1/5/2020,2,Not Specified,SKU580,3,37.94,0.06,106.99,5.08,Regular Air,Wrap Bag
7107,C715,Bob,1/3/2020,1/4/2020,1,Not Specified,SKU943,32,55.29,0.1,1592.35,5.08,Regular Air,Small Box
39619,C442,John,1/3/2020,1/7/2020,4,Low,SKU155,15,49.34,0.02,725.3,10.25,Regular Air,Large Box
31555,C374,Bob,1/3/2020,1/3/2020,0,Critical,SKU180,38,88.84,0,3375.92,20.79,Regular Air,Large Box
31555,C374,Bob,1/3/2020,1/6/2020,3,Critical,SKU1114,5,90.97,0.02,445.75,28,Delivery Truck,Jumbo Drum
44646,C501,Bob,1/3/2020,1/7/2020,4,Low,SKU969,47,279.48,0.08,12084.72,35,Regular Air,Large Box
55011,C017,John,1/3/2020,1/4/2020,1,Critical,SKU775,48,9.85,0.09,430.25,4.82,Regular Air,Wrap Bag
55011,C017,John,1/3/2020,1/4/2020,1,Critical,SKU810,18,2.94,0.01,52.39,0.81,Regular Air,Wrap Bag
10432,C708,John,1/4/2020,1/11/2020,7,Low,SKU1049,13,179.99,0.08,2152.68,19.99,Regular Air,Small Box
13444,C606,Bob,1/4/2020,1/7/2020,3,High,SKU611,33,4.76,0.06,147.66,0.88,Regular Air,Wrap Bag
5601,C295,John,1/4/2020,1/5/2020,1,High,SKU092,10,12.22,0.1,109.98,2.85,Regular Air,Small Pack
52516,C684,John,1/4/2020,1/4/2020,0,High,SKU1103,50,119.99,0.08,5519.54,56.14,Delivery Truck,Jumbo Box
52516,C684,John,1/4/2020,1/7/2020,3,High,SKU871,19,10.23,0.08,178.82,4.68,Express Air,Small Pack
25442,C304,Bob,1/4/2020,1/6/2020,2,High,SKU619,32,55.48,0.08,1633.33,4.85,Regular Air,Small Box
16036,C322,John,1/4/2020,1/5/2020,1,Medium,SKU894,28,80.98,0.09,2063.37,35,Regular Air,Large Box
25442,C304,John,1/4/2020,1/6/2020,2,High,SKU612,40,11.34,0.02,444.53,5.01,Regular Air,Small Box
16036,C322,Richard,1/4/2020,1/6/2020,2,Medium,SKU379,28,5.81,0.05,154.55,8.49,Regular Air,Small Box
16036,C322,Bob,1/4/2020,1/5/2020,1,Medium,SKU1216,10,155.99,0.07,1450.71,8.08,Regular Air,Small Box
16036,C322,Richard,1/4/2020,1/5/2020,1,Medium,SKU940,33,17.7,0.1,525.69,9.47,Regular Air,Small Box
4800,C517,Richard,1/4/2020,1/11/2020,7,Low,SKU382,4,8.04,0.05,30.55,8.94,Regular Air,Small Box
